Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10), Total Reviews ,Duration (min),Gross Revenue,Budget
Showgirls,12/22/1995,Color,Drama,English,France,NC-17,Bobbie Phillips,Paul Verhoeven,16000,18913,719,0,4.6,181,131,20302961,45000000
Species,7/10/1995,Color,Action,English,USA,R,Natasha Henstridge,Roger Donaldson,900,1715,79,0,5.8,97,108,60054449,35000000
Tales from the Crypt: Demon Knight,7/8/1995,Color,Action,English,USA,R,CCH Pounder,Ernest R. Dickerson,1000,3931,226,0,6.7,66,92,21088568,13000000
Tales from the Hood,11/23/1995,Color,Comedy,English,USA,R,Corbin Bernsen,Rusty Cundieff,1000,3221,38,985,6.1,25,98,11797927,6000000
Tank Girl,7/14/1995,Color,Action,English,USA,R,Naomi Watts,Rachel Talalay,6000,9662,54,0,5.2,60,104,4064333,25000000
The American President,12/30/1995,Color,Comedy,English,USA,PG-13,Shawna Waldron,Rob Reiner,524,2668,0,0,6.8,75,114,65000000,62000000
The Bridges of Madison County,12/25/1995,Color,Drama,English,USA,PG-13,Clint Eastwood,Clint Eastwood,16000,27237,16000,0,7.5,69,135,70960517,35000000
The Brothers McMullen,7/14/1995,Color,Comedy,English,USA,R,Shari Albert,Edward Burns,138,388,0,265,6.6,36,98,10246600,25000
The Incredibly True Adventure of Two Girls in Love,11/30/1995,Color,Comedy,English,USA,R,Nicole Ari Parker,Maria Maggenti,360,656,4,423,6.5,23,94,1977544,250000
The Indian in the Cupboard,12/18/1995,Color,Drama,English,USA,PG,Steve Coogan,Frank Oz,1000,2965,0,0,5.9,25,96,35617599,45000000
The Net,7/16/1995,Color,Action,English,USA,PG-13,Ken Howard,Irwin Winkler,649,1725,34,0,5.8,53,114,50728000,22000000
The Perez Family,1/10/1995,Color,Comedy,English,USA,R,Anjelica Huston,Mira Nair,1000,3072,300,174,6.2,15,113,2832826,11000000
The Prophecy,1/23/1995,Color,Action,English,USA,R,Viggo Mortensen,Gregory Widen,10000,13433,10,0,6.6,56,98,16115878,8000000
The Quick and the Dead,4/11/1995,Black and White,Action,English,Japan,R,Leonardo DiCaprio,Sam Raimi,29000,29743,0,0,6.4,63,107,18636537,32000000
The Scarlet Letter,3/17/1995,Color,Drama,English,USA,R,Gary Oldman,Roland Joffé,10000,15820,596,943,5.1,34,135,10400000,50000000
The Usual Suspects,6/18/1995,Color,Crime,English,USA,R,Kevin Spacey,Bryan Singer,18000,20821,0,28000,8.6,162,106,23272306,6000000
Things to Do in Denver When You're Dead,5/24/1995,Color,Crime,English,USA,R,Steve Buscemi,Gary Fleder,12000,14889,39,0,6.8,52,115,529766,7000000
To Die For,7/3/1995,Color,Comedy,English,USA,R,Kurtwood Smith,Gus Van Sant,1000,3598,835,1000,6.8,59,106,21200000,20000000
Toy Story,5/9/1995,Color,Adventure,English,USA,G,Tom Hanks,John Lasseter,15000,19046,487,0,8.3,166,74,191796233,30000000
Under Siege 2: Dark Territory,2/15/1995,Color,Action,English,USA,R,Peter Greene,Geoff Murphy,789,2318,14,1000,5.4,47,92,50024083,60000000
Vampire in Brooklyn,8/7/1995,Color,Comedy,English,USA,R,John Witherspoon,Wes Craven,723,2348,0,1000,4.5,34,100,19900000,20000000
Virtuosity,9/9/1995,Color,Action,English,USA,R,Denzel Washington,Brett Leonard,18000,20772,32,0,5.5,44,106,24048000,30000000
Waterworld,10/7/1995,Color,Action,English,USA,PG-13,Jeanne Tripplehorn,Kevin Reynolds,711,1004,58,0,6.1,91,176,88246220,175000000
Welcome to the Dollhouse,1/10/1995,Color,Comedy,English,USA,R,Heather Matarazzo,Todd Solondz,529,1502,377,0,7.5,74,88,4771000,800000
A Thin Line Between Love and Hate,6/24/1996,Color,Comedy,English,USA,R,Faizon Love,Martin Lawrence,585,3023,0,559,5.6,11,108,34746109,8000000
A Time to Kill,11/28/1996,Color,Crime,English,USA,R,Kevin Spacey,Joel Schumacher,18000,31349,541,0,7.4,71,149,108706165,40000000
Albino Alligator,12/29/1996,Color,Crime,English,USA,R,Viggo Mortensen,Kevin Spacey,10000,13718,18000,225,6.1,37,97,326308,5000000
Basquiat,11/21/1996,Color,Biography,English,USA,R,Gary Oldman,Julian Schnabel,10000,11459,232,0,6.9,42,108,2961991,3300000
Beavis and Butt-Head Do America,4/14/1996,Color,Adventure,English,USA,PG-13,Bruce Willis,Mike Judge,13000,17035,406,0,6.8,63,81,63071133,12000000
Blood and Wine,11/30/1996,Color,Crime,English,USA,R,Harold Perrineau,Bob Rafelson,1000,2228,30,145,6.1,42,101,1075288,22000000
Bogus,6/6/1996,Color,Comedy,English,USA,PG,Haley Joel Osment,Norman Jewison,3000,3864,278,350,5.3,15,110,4357000,30000000
Bottle Rocket,12/28/1996,Color,Comedy,English,USA,R,Andrew Wilson,Wes Anderson,387,648,0,0,7.1,83,91,1040879,7000000
Bound,11/14/1996,Color,Crime,English,USA,R,Christopher Meloni,Lana Wachowski,3000,3668,0,2000,7.4,120,109,3798532,4500000
Broken Arrow,3/14/1996,Color,Action,English,USA,R,Delroy Lindo,John Woo,848,2913,610,0,6,72,108,70450000,50000000
Chain Reaction,2/23/1996,Color,Action,English,USA,PG-13,Keanu Reeves,Andrew Davis,18000,31014,99,1000,5.6,47,107,20550712,50000000
City Hall,3/3/1996,Color,Drama,English,USA,R,Al Pacino,Harold Becker,14000,17877,17,309,6.2,50,111,20300000,40000000
Courage Under Fire,6/4/1996,Color,Action,English,USA,R,Denzel Washington,Edward Zwick,18000,33233,380,975,6.6,65,116,58918501,46000000
Daylight,4/15/1996,Color,Action,English,USA,PG-13,Sylvester Stallone,Rob Cohen,13000,25126,357,0,5.8,61,114,32885565,80000000
DragonHeart,1/1/1996,Color,Action,English,USA,PG-13,Dennis Quaid,Rob Cohen,2000,2710,357,0,6.4,60,103,51317350,57000000
Eraser,5/17/1996,Color,Action,English,USA,R,Vanessa Williams,Chuck Russell,1000,3454,55,0,6.1,81,115,101228120,100000000
Escape from L.A.,2/13/1996,Color,Action,English,USA,R,Steve Buscemi,John Carpenter,12000,15935,0,0,5.7,104,101,25407250,50000000
Everyone Says I Love You,9/10/1996,Color,Comedy,English,USA,R,Natasha Lyonne,Woody Allen,1000,1614,11000,0,6.8,69,101,9714482,20000000
Evita,6/17/1996,Color,Biography,English,USA,PG,Andrea Corr,Alan Parker,57,164,317,0,6.3,76,135,49994804,55000000
Executive Decision,3/29/1996,Color,Action,English,USA,R,Oliver Platt,Stuart Baird,1000,2916,53,0,6.4,60,133,68750000,55000000
Extreme Measures,3/4/1996,Color,Crime,English,USA,R,J.K. Simmons,Michael Apted,24000,24547,150,352,6.1,47,118,17305211,38000000
Eye for an Eye,4/16/1996,Color,Crime,English,USA,R,Joe Mantegna,John Schlesinger,1000,3174,154,613,6.1,31,101,53146000,20000000
Faithful,2/19/1996,Color,Comedy,English,USA,R,Chazz Palminteri,Paul Mazursky,979,1679,150,69,5.9,21,91,2104000,13000000
Fled,3/9/1996,Color,Action,English,USA,R,Salma Hayek,Kevin Hooks,4000,6152,114,204,5.3,36,105,17100000,25000000
Flipper,2/9/1996,Color,Adventure,English,USA,PG,Paul Hogan,Alan Shapiro,442,616,0,504,5.2,23,95,20047715,25530000
Flirting with Disaster,9/12/1996,Color,Comedy,English,USA,R,Lily Tomlin,David O. Russell,718,2240,737,824,6.8,50,92,14891000,7000000
From Dusk Till Dawn,11/2/1996,Color,Crime,English,USA,R,Quentin Tarantino,Robert Rodriguez,16000,23296,0,12000,7.3,165,108,25753840,19000000
Get on the Bus,8/13/1996,Color,Drama,English,USA,R,Bernie Mac,Spike Lee,1000,5963,0,352,6.8,28,120,5731103,2400000
Ghosts of Mississippi,6/1/1996,Color,Drama,English,USA,PG-13,Alexa PenaVega,Rob Reiner,2000,3968,0,591,6.7,31,130,13052741,36000000
Girl 6,6/14/1996,Color,Comedy,English,USA,R,Michael Imperioli,Spike Lee,873,4497,0,251,5,30,108,4903000,12000000
Hamlet,12/29/1996,Color,Drama,English,UK,PG-13,Julie Christie,Kenneth Branagh,597,1645,0,0,7.8,85,150,4414535,18000000
Happy Gilmore,8/26/1996,Color,Comedy,English,USA,PG-13,Adam Sandler,Dennis Dugan,11000,13162,221,0,7,77,92,38624000,12000000
Harriet the Spy,3/18/1996,Color,Comedy,English,USA,PG,Gregory Smith,Bronwen Hughes,694,2486,15,833,5.9,25,100,26539321,13000000
Independence Day,5/25/1996,Color,Action,English,USA,PG-13,Will Smith,Roland Emmerich,10000,16785,776,16000,6.9,185,154,306124059,75000000
Jerry Maguire,4/11/1996,Color,Comedy,English,USA,R,Tom Cruise,Cameron Crowe,10000,12182,488,0,7.3,109,139,153620822,50000000
Jingle All the Way,5/18/1996,Color,Comedy,English,USA,PG,Jim Belushi,Brian Levant,854,4530,32,0,5.4,81,94,60573641,60000000
Kama Sutra: A Tale of Love,4/25/1996,Color,Crime,English,USA,R,Indira Varma,Mira Nair,729,1292,300,0,6,33,109,4109095,3000000
Kansas City,6/13/1996,Color,Crime,English,France,R,Steve Buscemi,Robert Altman,12000,14579,500,228,6.3,31,116,1292527,19000000
Kingpin,3/10/1996,Color,Comedy,English,USA,PG-13,Bill Murray,Bobby Farrelly,13000,16937,101,3000,6.9,62,117,24944213,27000000
Lone Star,3/25/1996,Color,Drama,English,USA,R,Matthew McConaughey,John Sayles,11000,11400,407,0,7.6,68,135,13269963,5000000
Love and Other Catastrophes,2/3/1996,Color,Comedy,English,Australia,R,Radha Mitchell,Emma-Kate Croghan,991,1661,0,46,6.4,21,76,212285,250000
Mars Attacks!,8/13/1996,Color,Action,English,USA,PG-13,Natalie Portman,Tim Burton,20000,22590,13000,0,6.3,132,106,37754208,70000000
Marvin's Room,9/9/1996,Color,Drama,English,USA,PG-13,Leonardo DiCaprio,Jerry Zaks,29000,63194,4,1000,6.7,45,98,12782508,23000000
Mary Reilly,1/6/1996,Color,Drama,English,USA,R,Julia Roberts,Stephen Frears,8000,8349,350,616,5.8,46,108,5600000,47000000
Maximum Risk,5/10/1996,Color,Action,English,USA,R,Natasha Henstridge,Ringo Lam,900,1634,17,503,5.4,50,101,14095303,25000000
Michael Collins,5/23/1996,Black and White,Biography,English,UK,R,Alan Rickman,Neil Jordan,25000,48482,277,0,7.1,44,133,11030963,28000000
Mission: Impossible,10/10/1996,Color,Action,English,USA,PG-13,Tom Cruise,Brian De Palma,10000,12760,0,0,7.1,154,110,180965237,80000000
Mrs. Winterbourne,9/20/1996,Color,Comedy,English,USA,PG-13,Brendan Fraser,Richard Benjamin,3000,5023,121,491,6.2,20,105,10070000,25000000
Multiplicity,9/18/1996,Color,Comedy,English,USA,PG-13,John de Lancie,Harold Ramis,905,2348,11000,0,6,43,117,20101861,45000000
My Fellow Americans,9/15/1996,Color,Adventure,English,USA,PG-13,Wilford Brimley,Peter Segal,957,4629,88,758,6.5,27,101,22294341,21500000
Phenomenon,11/16/1996,Color,Drama,English,USA,PG,Robert Duvall,Jon Turteltaub,3000,5975,226,0,6.4,53,123,104632573,32000000
Ransom,3/8/1996,Color,Crime,English,USA,R,Lili Taylor,Ron Howard,960,3667,2000,1000,6.6,79,139,136448821,80000000
Romeo + Juliet,10/26/1996,Color,Drama,English,USA,PG-13,Leonardo DiCaprio,Baz Luhrmann,29000,33791,1000,10000,6.8,106,120,46338728,14500000
Scream,8/27/1996,Color,Horror,English,USA,R,David Arquette,Wes Craven,611,1212,0,11000,7.2,242,103,103001286,15000000
Set It Off,6/18/1996,Color,Action,English,USA,R,Vivica A. Fox,F. Gary Gray,890,3661,473,0,6.8,29,123,36049108,9000000
Sgt. Bilko,10/8/1996,Color,Comedy,English,USA,PG,Austin Pendleton,Jonathan Lynn,592,2176,36,478,5.7,23,93,30400000,39000000
She's the One,12/19/1996,Color,Comedy,English,USA,R,John Mahoney,Edward Burns,385,995,0,453,6.1,43,96,9449219,3500000
Shine,8/7/1996,Color,Biography,English,Australia,PG-13,Noah Taylor,Scott Hicks,509,888,96,0,7.7,71,105,35811509,5500000
Sleepers,9/20/1996,Black and White,Crime,English,USA,R,Robert De Niro,Barry Levinson,22000,37076,272,0,7.5,73,147,53300852,44000000
Sling Blade,9/22/1996,Color,Drama,English,USA,R,Robert Duvall,Billy Bob Thornton,3000,3967,0,0,8,104,148,24475416,890000
Space Jam,8/7/1996,Color,Adventure,English,USA,PG,Bill Murray,Joe Pytka,13000,15001,30,0,6.3,46,88,90443603,80000000
Spy Hard,10/3/1996,Color,Action,English,USA,PG-13,Hulk Hogan,Rick Friedberg,844,2653,8,588,5.3,27,81,26906039,18000000
Star Trek: First Contact,2/1/1996,Color,Action,English,USA,PG-13,LeVar Burton,Jonathan Frakes,1000,6315,906,3000,7.6,143,111,92001027,45000000
Striptease,5/7/1996,Color,Comedy,English,USA,R,Demi Moore,Andrew Bergman,2000,3016,31,877,4.3,51,117,32800000,40000000
Swingers,5/3/1996,Color,Comedy,English,USA,R,Jon Favreau,Doug Liman,4000,4230,218,0,7.4,77,96,4505922,200000
That Thing You Do!,10/3/1996,Color,Comedy,English,USA,PG,Tom Hanks,Tom Hanks,15000,28713,15000,0,6.9,75,149,25809813,26000000
The Adventures of Pinocchio,4/16/1996,Color,Adventure,Italian,UK,G,Martin Landau,Steve Barron,940,2465,48,246,5.3,19,90,15091542,25000000
The Cable Guy,9/28/1996,Color,Comedy,English,USA,PG-13,Matthew Broderick,Ben Stiller,2000,3718,0,0,6,72,96,60154431,47000000
The Craft,3/6/1996,Color,Drama,English,USA,R,Christine Taylor,Andrew Fleming,838,1812,26,6000,6.2,93,101,24881000,15000000
The English Patient,2/1/1996,Color,Drama,English,USA,R,Colin Firth,Anthony Minghella,14000,15912,333,0,7.4,116,162,78651430,27000000
The Fan,2/28/1996,Color,Action,English,USA,R,Robert De Niro,Tony Scott,22000,24618,12000,0,5.8,50,116,18573791,55000000
The First Wives Club,11/23/1996,Color,Comedy,English,USA,PG,Stockard Channing,Hugh Wilson,944,3143,37,0,6.2,50,103,105444419,26000000
The Funeral,11/26/1996,Color,Crime,English,USA,R,Isabella Rossellini,Abel Ferrara,812,3337,220,344,6.6,48,99,1227324,12500000
The Ghost and the Darkness,6/16/1996,Color,Adventure,English,USA,R,Tom Wilkinson,Stephen Hopkins,1000,1752,81,0,6.8,62,110,38553833,55000000
The Glimmer Man,8/19/1996,Color,Action,English,USA,R,Alexa PenaVega,John Gray,2000,3855,29,451,5.3,39,91,20400913,45000000
The Hunchback of Notre Dame,2/23/1996,Color,Animation,English,USA,G,Demi Moore,Gary Trousdale,2000,4842,21,0,6.9,80,91,100117603,100000000
The Island of Dr. Moreau,9/15/1996,Color,Horror,English,USA,PG-13,Marlon Brando,John Frankenheimer,10000,10469,287,0,4.4,70,99,27663982,40000000
The Juror,9/28/1996,Color,Drama,English,USA,R,Joseph Gordon-Levitt,Brian Gibson,23000,26907,13,353,5.6,28,118,44834712,44000000
The Long Kiss Goodnight,2/12/1996,Color,Action,English,USA,R,Melina Kanakaredes,Renny Harlin,394,1531,212,4000,6.7,94,121,33328051,65000000
The Mirror Has Two Faces,12/15/1996,Color,Comedy,English,USA,PG-13,Jeff Bridges,Barbra Streisand,12000,13716,0,0,6.5,27,122,41252428,42000000
The Nutty Professor,9/14/1996,Color,Comedy,English,USA,PG-13,Jada Pinkett Smith,Tom Shadyac,851,3155,293,960,5.6,57,95,128769345,54000000
The Phantom,2/18/1996,Color,Action,English,Australia,PG,Cary-Hiroyuki Tagawa,Simon Wincer,1000,3855,23,0,4.9,60,100,17300889,45000000
The Rock,12/3/1996,Color,Action,English,USA,R,Nicolas Cage,Michael Bay,12000,15999,0,51000,7.4,122,136,134006721,75000000
Thinner,11/17/1996,Color,Fantasy,English,USA,R,Joe Mantegna,Tom Holland,1000,2777,85,0,5.7,73,93,15171475,8500000
Tin Cup,5/5/1996,Color,Comedy,English,USA,R,Don Johnson,Ron Shelton,982,3648,41,1000,6.3,48,135,53854588,45000000
Trainspotting,9/10/1996,Color,Drama,English,UK,R,Kelly Macdonald,Danny Boyle,2000,3559,0,21000,8.2,134,94,16501785,3500000
Trees Lounge,1/1/1996,Color,Comedy,English,USA,R,Steve Buscemi,Steve Buscemi,12000,14420,12000,872,7.2,43,95,695229,1300000
Twister,7/15/1996,Color,Action,English,USA,PG-13,Philip Seymour Hoffman,Jan de Bont,22000,26239,101,0,6.3,114,113,241688385,92000000
Up Close & Personal,6/19/1996,Color,Drama,English,USA,PG-13,Joe Mantegna,Jon Avnet,1000,3653,50,829,6.1,34,124,51045801,60000000
Waiting for Guffman,12/29/1996,Color,Comedy,English,USA,R,Catherine O'Hara,Christopher Guest,925,3559,378,0,7.6,50,84,2892582,4000000
Walking and Talking,11/6/1996,Color,Comedy,English,UK,R,Kevin Corrigan,Nicole Holofcener,778,2400,132,227,6.8,18,86,1277257,1000000
When the Cat's Away,1/19/1996,Color,Comedy,French,France,R,Simon Abkarian,Cédric Klapisch,75,102,82,166,6.9,29,91,1652472,300000
White Squall,10/5/1996,Color,Adventure,English,USA,PG-13,Jeff Bridges,Ridley Scott,12000,16237,0,911,6.6,37,129,10300000,38000000
8 Heads in a Duffel Bag,5/19/1997,Color,Comedy,English,USA,R,Kristy Swanson,Tom Schulman,578,1363,45,417,5.3,30,95,3559990,3000000
A Simple Wish,3/30/1997,Color,Comedy,English,USA,PG,Mara Wilson,Michael Ritchie,1000,5535,23,517,5.4,21,89,8119205,28000000
Absolute Power,11/29/1997,Color,Action,English,USA,R,Clint Eastwood,Clint Eastwood,16000,19139,16000,1000,6.7,76,121,50007168,50000000
Air Bud,10/14/1997,Color,Comedy,English,USA,PG,Kevin Zegers,Charles Martin Smith,2000,4277,188,902,5.1,35,98,24629916,3000000
Air Force One,4/21/1997,Color,Action,English,USA,R,Harrison Ford,Wolfgang Petersen,11000,23603,249,0,6.4,142,124,172620724,85000000
Alien: Resurrection,2/5/1997,Color,Action,English,USA,R,Gary Dourdan,Jean-Pierre Jeunet,1000,3090,0,0,6.3,223,116,47748610,75000000
Amistad,11/28/1997,Color,Drama,English,USA,R,Anthony Hopkins,Steven Spielberg,12000,37570,14000,0,7.2,77,155,44175394,36000000
An Alan Smithee Film: Burn Hollywood Burn,5/8/1997,Color,Comedy,English,USA,R,Eric Idle,Arthur Hiller,795,2655,71,89,3.5,29,86,15447,10000000
Anaconda,12/21/1997,Color,Action,English,USA,PG-13,Frank Welker,Luis Llosa,2000,3717,49,0,4.6,119,89,65557989,45000000
Anastasia,12/22/1997,Color,Adventure,English,USA,G,Kirsten Dunst,Don Bluth,4000,6017,383,0,7.1,78,94,58297830,50000000
As Good as It Gets,12/14/1997,Color,Comedy,English,USA,PG-13,Lupe Ontiveros,James L. Brooks,625,1474,274,11000,7.7,156,139,147637474,50000000
Austin Powers: International Man of Mystery,11/29/1997,Color,Comedy,English,USA,PG-13,Will Ferrell,Jay Roach,8000,10557,116,0,7,129,68,53868030,17000000
Batman & Robin,11/20/1997,Color,Action,English,USA,PG-13,Michael Gough,Joel Schumacher,920,2699,541,0,3.7,183,125,107285004,125000000
Boogie Nights,1/11/1997,Color,Drama,English,USA,R,Don Cheadle,Paul Thomas Anderson,3000,3677,0,0,7.9,153,155,26384919,15000000
Breakdown,11/14/1997,Color,Action,English,USA,R,Kathleen Quinlan,Jonathan Mostow,551,1874,84,0,6.9,72,93,50129186,36000000
Cats Don't Dance,12/18/1997,Color,Animation,English,USA,G,George Kennedy,Mark Dindal,3000,7394,10,643,6.9,18,75,3562749,32000000
Character,10/25/1997,Color,Crime,Dutch,Netherlands,R,Jan Decleir,Mike van Diem,25,48,4,689,7.8,54,122,713413,4500000
Chasing Amy,7/10/1997,Color,Comedy,English,USA,R,Matt Damon,Kevin Smith,13000,15765,0,0,7.3,147,113,12006514,250000
Children of Heaven,9/15/1997,Color,Drama,Persian,Iran,PG,Bahare Seddiqi,Majid Majidi,36,100,373,0,8.5,46,89,925402,180000
Con Air,1/2/1997,Color,Action,English,USA,R,Steve Buscemi,Simon West,12000,15362,165,0,6.8,139,123,101087161,75000000
Conspiracy Theory,12/19/1997,Color,Action,English,USA,R,Julia Roberts,Richard Donner,8000,8355,503,0,6.7,80,135,76081498,75000000
Contact,8/16/1997,Color,Drama,English,USA,PG,Matthew McConaughey,Robert Zemeckis,11000,12289,0,15000,7.4,159,150,100853835,90000000
Cop Land,7/15/1997,Color,Crime,English,USA,R,Robert De Niro,James Mangold,22000,40117,446,2000,6.9,131,120,44886089,10000000
Critical Care,3/7/1997,Color,Comedy,English,Australia,R,Kyra Sedgwick,Sidney Lumet,941,3099,0,88,6,25,107,141853,12000000
Cube,3/18/1997,Color,Mystery,English,Canada,R,David Hewlett,Vincenzo Natali,686,1743,165,11000,7.3,99,90,489220,365000
Dante's Peak,8/18/1997,Color,Action,English,USA,PG-13,Jamie Renée Smith,Roger Donaldson,650,1569,79,0,5.8,93,108,67155742,116000000
Deconstructing Harry,5/22/1997,Color,Comedy,English,USA,R,Woody Allen,Woody Allen,11000,11867,11000,0,7.4,104,96,10569071,20000000
Donnie Brasco,1/15/1997,Color,Biography,English,USA,R,Johnny Depp,Mike Newell,40000,56014,179,0,7.8,117,147,41954997,35000000
Dream with the Fishes,3/7/1997,Color,Comedy,English,USA,R,David Arquette,Finn Taylor,611,1692,4,166,7,28,97,464655,1000000
Event Horizon,8/1/1997,Color,Horror,English,UK,R,Sean Pertwee,Paul W.S. Anderson,722,2525,545,10000,6.7,172,130,26616590,60000000
Eve's Bayou,7/2/1997,Color,Drama,English,USA,R,Jurnee Smollett-Bell,Kasi Lemmons,2000,3843,148,599,7.3,31,109,14821531,6000000
Face/Off,7/22/1997,Color,Action,English,USA,R,Nicolas Cage,John Woo,12000,17087,610,11000,7.3,155,138,112225777,80000000
"First Love, Last Rites",3/23/1997,Color,Drama,English,USA,R,Robert John Burke,Jesse Peretz,318,751,37,26,5.5,16,94,40542,300000
Flubber,11/10/1997,Color,Comedy,English,USA,PG,Robin Williams,Les Mayfield,49000,50005,10,0,5.2,53,90,92969824,80000000
G.I. Jane,4/18/1997,Color,Action,English,USA,R,Viggo Mortensen,Ridley Scott,10000,15569,0,2000,5.8,97,125,48154732,50000000
Gattaca,6/20/1997,Color,Drama,English,USA,PG-13,Blair Underwood,Andrew Niccol,685,1942,487,17000,7.8,175,106,12339633,36000000
George of the Jungle,2/10/1997,Color,Action,English,USA,PG,Brendan Fraser,Sam Weisman,3000,4518,39,5000,5.4,53,92,105263257,55000000
Good Will Hunting,5/12/1997,Color,Drama,English,USA,R,Robin Williams,Gus Van Sant,49000,63710,835,31000,8.3,161,126,138339411,10000000
Grosse Pointe Blank,7/10/1997,Color,Action,English,USA,R,Minnie Driver,George Armitage,893,2044,5,0,7.4,111,107,28014536,15000000
Hav Plenty,6/2/1997,Color,Comedy,English,USA,R,Hill Harper,Christopher Scott Cherot,465,714,21,161,6.5,25,84,2301777,650000
Hurricane Streets,4/14/1997,Black and White,Crime,English,USA,R,Edie Falco,Morgan J. Freeman,659,2322,204,51,6.5,17,86,334041,500000
I Know What You Did Last Summer,12/10/1997,Color,Horror,English,USA,R,Muse Watson,Jim Gillespie,45000,50284,13,0,5.6,140,99,72219395,17000000
I Married a Strange Person!,9/13/1997,Color,Animation,English,USA,R,Charis Michelsen,Bill Plympton,5,7,45,178,7,19,75,203134,250000
In & Out,5/5/1997,Color,Comedy,English,USA,PG-13,Tom Selleck,Frank Oz,19000,23504,0,0,6.3,83,90,63826569,35000000
In the Company of Men,1/18/1997,Color,Comedy,English,Canada,R,Stacy Edwards,Neil LaBute,136,254,119,489,7.3,80,97,2856622,25000
Jackie Brown,11/13/1997,Color,Crime,English,USA,R,Robert De Niro,Quentin Tarantino,22000,25522,16000,0,7.5,140,154,39647595,12000000
Kiss the Girls,7/2/1997,Color,Crime,English,USA,R,Morgan Freeman,Gary Fleder,11000,14322,39,0,6.6,83,115,60491560,27000000
Kundun,12/27/1997,Color,Biography,English,USA,PG-13,Tenzin Thuthob Tsarong,Martin Scorsese,2,4,17000,0,7,85,134,5532301,28000000
L.A. Confidential,2/16/1997,Color,Crime,English,USA,R,Kevin Spacey,Curtis Hanson,18000,19129,161,11000,8.3,177,138,64604977,35000000
Liar Liar,9/20/1997,Color,Comedy,English,USA,PG-13,Maura Tierney,Tom Shadyac,509,2070,293,0,6.8,73,86,181395380,45000000
Love Jones,2/16/1997,Color,Drama,English,USA,R,Leonard Roberts,Theodore Witcher,962,3871,28,1000,7.4,16,104,12514138,10000000
Mad City,5/9/1997,Color,Crime,English,USA,PG-13,Mia Kirshner,Costa-Gavras,972,2606,333,697,6.2,59,115,10556196,50000000
Men in Black,1/1/1997,Color,Adventure,English,USA,PG-13,Will Smith,Barry Sonnenfeld,10000,12998,188,0,7.3,175,98,250147615,90000000
Midnight in the Garden of Good and Evil,4/1/1997,Color,Crime,English,USA,R,Kevin Spacey,Clint Eastwood,18000,19689,16000,0,6.6,91,155,25078937,30000000
Money Talks,3/13/1997,Color,Action,English,USA,R,Heather Locklear,Brett Ratner,695,2530,420,666,6.1,29,97,41067398,25000000
Mortal Kombat: Annihilation,1/20/1997,Color,Action,English,USA,PG-13,Brian Thompson,John R. Leonetti,663,2266,40,1000,3.7,59,95,35927406,30000000
My Best Friend's Wedding,10/25/1997,Color,Comedy,English,USA,PG-13,Julia Roberts,P.J. Hogan,8000,12344,29,0,6.3,84,105,126805112,46000000
Nothing to Lose,3/16/1997,Color,Action,English,USA,R,Kelly Preston,Steve Oedekerk,742,2457,176,0,6.7,49,98,44455658,25000000
Orgazmo,11/7/1997,Color,Comedy,English,USA,NC-17,Trey Parker,Trey Parker,406,904,406,0,6.2,59,92,582024,1000000
Oscar and Lucinda,2/18/1997,Color,Drama,English,USA,R,Tom Wilkinson,Gillian Armstrong,1000,2004,44,329,6.7,28,132,1508689,16000000
Prefontaine,2/10/1997,Color,Biography,English,USA,PG-13,Kurtwood Smith,Steve James,1000,1610,23,0,6.8,23,106,532190,8000000
Princess Mononoke,7/18/1997,Color,Adventure,Japanese,Japan,PG-13,Minnie Driver,Hayao Miyazaki,893,2710,6000,11000,8.4,174,134,2298191,2400000000
Scream 2,8/10/1997,Color,Horror,English,USA,R,Omar Epps,Wes Craven,865,2321,0,0,6.1,195,120,101334374,24000000
Selena,8/5/1997,Color,Biography,English,USA,PG,Jon Seda,Gregory Nava,565,1735,16,0,6.7,37,127,35422828,20000000
Seven Years in Tibet,6/4/1997,Color,Adventure,English,USA,PG-13,Brad Pitt,Jean-Jacques Annaud,11000,12226,218,0,7,76,136,37901509,70000000
Shadow Conspiracy,3/7/1997,Color,Action,English,USA,R,Sam Waterston,George P. Cosmatos,849,2457,170,68,4.9,24,103,2154540,45000000
Shooting Fish,1/6/1997,Color,Comedy,English,UK,PG,Peter McNamara,Stefan Schwartz,419,975,13,167,6.6,43,99,302204,3000000
Smilla's Sense of Snow,12/26/1997,Color,Action,English,Denmark,R,Jim Broadbent,Bille August,1000,3125,55,561,6.4,50,121,2221994,35000000
Soul Food,9/26/1997,Color,Comedy,English,USA,R,Vanessa Williams,George Tillman Jr.,1000,4737,88,508,6.9,34,115,43490057,7500000
Spawn,4/8/1997,Color,Action,English,USA,R,Michael Jai White,Mark A.Z. Dippé,2000,7039,20,0,5.2,70,98,54967359,40000000
Speed 2: Cruise Control,10/28/1997,Color,Action,English,USA,PG-13,Jason Patric,Jan de Bont,673,2027,101,894,3.7,79,121,48068396,160000000
Spice World,1/15/1997,Color,Comedy,English,UK,PG,Jason Flemyng,Bob Spiers,1000,2176,14,0,3.3,33,93,29247405,25000000
